name	chr	start	end	height	pval	gene_name	description
chirp_peak_172	Pf3D7_05_v3	1131750	1132050	102.27962234174296	4.875768363827899e-15	PF3D7_0527200	ubiquitin carboxyl-terminal hydrolase 14
chirp_peak_173	Pf3D7_11_v3	372500	372750	102.27962234174296	8.856195335883714e-11	PF3D7_1108700	heat shock protein J2
chirp_peak_174	Pf3D7_13_v3	1276950	1277150	101.94538326615955	7.537991290289447e-09	PF3D7_1330300	DnaJ protein putative
chirp_peak_175	Pf3D7_05_v3	1173800	1174200	101.91702712757609	5.321860399782526e-14	PF3D7_0528400	palmitoyltransferase DHHC7
chirp_peak_176	Pf3D7_01_v3	4200	4300	101.8036025732423	4.888335199333733e-06	PF3D7_0100100	erythrocyte membrane protein 1 PfEMP1
chirp_peak_177	Pf3D7_13_v3	469800	470100	101.66785646774302	1.0510148360449932e-13	PF3D7_1310800	tetratricopeptide repeat protein putative
chirp_peak_178	Pf3D7_05_v3	759700	759900	101.63950032915957	1.3337524217757335e-16	PF3D7_0518300	proteasome subunit beta type-1 putative
chirp_peak_179	Pf3D7_04_v3	263600	264050	101.61114419057613	3.5416311208471074e-16	PF3D7_0404700	dipeptidyl aminopeptidase 3
chirp_peak_180	Pf3D7_03_v3	542950	543300	101.55443191340922	6.649457560977057e-16	PF3D7_0313200	conserved protein unknown function
chirp_peak_181	Pf3D7_14_v3	1587850	1588250	101.55443191340922	9.204045544744003e-10	PF3D7_1439100	DEAD/DEAH box helicase putative
chirp_peak_182	Pf3D7_05_v3	209400	209500	101.2769051149927	1.5910955236341006e-06	PF3D7_0505000	MMS19-like protein putative
chirp_peak_183	Pf3D7_08_v3	897200	897500	101.24854897640924	8.66838254235247e-15	PF3D7_0819800	conserved Plasmodium protein unknown function
chirp_peak_184	Pf3D7_14_v3	939600	939850	101.24854897640924	7.224573507115241e-10	PF3D7_1423300	serine/threonine protein phosphatase 7
chirp_peak_185	Pf3D7_02_v3	547450	547750	100.88595376224237	2.7866013840604565e-16	PF3D7_0213600	conserved Plasmodium protein unknown function
chirp_peak_186	Pf3D7_06_v3	1093750	1094000	100.85759762365893	2.3507893764749198e-11	PF3D7_0627100	ankyrin-repeat protein putative
chirp_peak_187	Pf3D7_05_v3	1074650	1075050	100.82924148507547	7.893017763439185e-14	PF3D7_0525900	NIMA related kinase 2
chirp_peak_188	Pf3D7_05_v3	120750	121050	100.82924148507547	1.2786503446497015e-09	PF3D7_0502700	conserved protein unknown function
chirp_peak_189	Pf3D7_05_v3	379550	379900	100.77252920790858	2.4929807259277963e-10	PF3D7_0509000	alpha-soluble NSF attachment protein putative
chirp_peak_190	Pf3D7_01_v3	250000	250200	100.5233585480755	5.881095598370094e-09	PF3D7_0105800	cyclin-dependent kinases regulatory subunit putative
chirp_peak_191	Pf3D7_11_v3	968700	969050	100.4666462709086	2.071487007005251e-17	PF3D7_1124500	pyruvate dehydrogenase E1 component subunit alpha
